DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,955,100,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,734,0,7,m,space
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,1268,100,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,826,100,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,772,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,663,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,738,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,751,100,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,1020,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,800,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,770,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,817,0,6,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,802,0,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,801,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,854,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,817,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,838,0,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,761,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,738,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,730,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,734,0,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,695,100,8,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,844,100,4,z,z
